CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,LANDMIX,VC_EMPDEN,VC_POPDEN,AVGDA,SMLDA,POPDEN,EMPDEN,INTERDEN,PERC4INTER,SPRAWL
4620259,259,24,Quebec / Québec,462,24462,Montréal,B,0.297245396,0.311944467,0.305641241,0.013396898,100,40504.62801,15132.40416,359.6490676,35.8490566,1.299
4620260,260,24,Quebec / Québec,462,24462,Montréal,B,0.453697274,0.893163225,0.88913304,0.053888673,18.74532825,10725.81608,4407.234117,88.14468234,47.36842105,0.3316
4620261,261,24,Quebec / Québec,462,24462,Montréal,B,0.570440618,0.75998447,0.644717815,0.050043825,23.75191516,10842.49649,4476.076693,111.9019173,21.42857143,0.3436
4620262,262,24,Quebec / Québec,462,24462,Montréal,B,0.569070911,0.469628591,0.458107982,0.033922611,31.2145218,14821.31703,6288.824023,55.68229604,82.35294118,0.5443
4620263,263,24,Quebec / Québec,462,24462,Montréal,B,0.717796532,0.595149693,0.481573111,0.042724479,58.75902756,13658.94793,5400.049184,173.8715527,38.46153846,0.4914
4620167,167,24,Quebec / Québec,462,24462,Montréal,B,0.550310561,0.446575616,0.433631646,0.020430727,100,31190.76536,17926.43046,256.9658974,66.66666667,1.271
4620168,168,24,Quebec / Québec,462,24462,Montréal,B,0.173886404,0.253495607,0.27484934,0.013539167,100,42631.87054,20089.86276,221.5793687,53.33333333,1.458
4620169,169,24,Quebec / Québec,462,24462,Montréal,B,0.028510752,0.279213739,0.167321761,0.011713427,100,37836.91877,21257.65518,187.8186401,63.63636364,1.433
4620170,170,24,Quebec / Québec,462,24462,Montréal,B,0.040146882,0.201859966,0.202124146,0.012570026,100,33587.83942,20604.57226,190.9303994,83.33333333,1.375
4620171,171,24,Quebec / Québec,462,24462,Montréal,B,0.556153877,0.550737345,0.410222078,0.027446212,56.8297306,24645.60791,13845.26231,307.094164,49.15254237,1.057
4620172,172,24,Quebec / Québec,462,24462,Montréal,B,0.588622951,0.314927842,0.282001948,0.026265872,100,31676.08526,21003.17352,469.5573536,48.64864865,1.37
4620173,173,24,Quebec / Québec,462,24462,Montréal,B,0.619796878,0.258785936,0.335092896,0.024733664,100,27344.64767,18193.82669,283.0150819,57.14285714,1.239
4620174,174,24,Quebec / Québec,462,24462,Montréal,B,0.710273531,0.470812637,0.468765705,0.030477122,32.84242508,22869.61344,15202.6603,196.8689822,44.44444444,1.057
4620175,175,24,Quebec / Québec,462,24462,Montréal,B,0.373168962,0.036094842,0.035211215,0.015775265,100,41795.38844,28208.71768,211.301256,70,1.617
4620176,176,24,Quebec / Québec,462,24462,Montréal,B,0.245025848,0.265693176,0.262500749,0.015099344,100,34703.49342,21855.25349,198.6841226,66.66666667,1.409
4620177,177,24,Quebec / Québec,462,24462,Montréal,B,0.05904559,0.29128472,0.299150344,0.019654033,100,34242.33577,23150.46475,305.2808539,58.33333333,1.434
4620178,178,24,Quebec / Québec,462,24462,Montréal,B,0.181265377,0.522004271,0.53938558,0.027832901,36.54009354,21135.05879,15045.14385,287.4296138,81.25,1.034
4620179,179,24,Quebec / Québec,462,24462,Montréal,B,0.337520281,0.499888373,0.450685113,0.028282064,55.34298848,19290.36795,12148.03219,212.1485871,35.71428571,0.9134
4620180,180,24,Quebec / Québec,462,24462,Montréal,B,0.375338121,0.358781004,0.455586679,0.015006369,100,32157.77475,17944.76181,218.9546534,47.82608696,1.284
4620181,181,24,Quebec / Québec,462,24462,Montréal,B,0.600640383,0.329512199,0.34726164,0.016636403,51.99758515,33570.95918,18971.94985,202.8683746,81.48148148,1.303
4620182,182,24,Quebec / Québec,462,24462,Montréal,B,0.200045908,0.173142292,0.118283756,0.013710183,100,39295.61042,22610.93129,164.1115981,100,1.482
4620183,183,24,Quebec / Québec,462,24462,Montréal,B,0.001144369,0.102948122,0.047430735,0.013101148,100,42076.46503,25761.10104,171.7406736,100,1.575
4620184,184,24,Quebec / Québec,462,24462,Montréal,B,0.112571298,0.259452151,0.158086984,0.017423765,100,33781.44651,19570.97054,160.7000513,85.71428571,1.339
4620185,185,24,Quebec / Québec,462,24462,Montréal,B,0.229697282,0.204535249,0.166012807,0.015632074,100,33373.69139,17847.92006,140.7362872,100,1.292
4620186,186,24,Quebec / Québec,462,24462,Montréal,B,0.483879937,0.359542613,0.371886431,0.019250711,100,29472.93669,15389.04163,207.7845283,71.875,1.187
5350412.14,412.14,35,Ontario,535,35535,Toronto,B,0.411870763,0.500965092,0.499101631,0.152717057,3.040568661,3710.565655,2122.661823,39.28834223,25,-0.1572
5350412.15,412.15,35,Ontario,535,35535,Toronto,B,0.449863721,0.46503543,0.458145751,0.227360771,2.414236132,2999.637969,1602.629157,39.58466528,16.66666667,-0.2701
4620189,189,24,Quebec / Québec,462,24462,Montréal,B,0.038171584,NA,NA,0.584242789,0,0,NA,37.65557813,22.72727273,-1.328
4620191,191,24,Quebec / Québec,462,24462,Montréal,B,0.739488936,0.734605848,0.75854838,0.061129528,24.89914338,9177.234253,4238.392095,208.201717,45.71428571,0.3057
4620192,192,24,Quebec / Québec,462,24462,Montréal,B,0.704241741,0.523882351,0.595726061,0.07747062,5.919694683,10616.92813,3872.435793,209.7569388,32.30769231,0.3048
4620193,193,24,Quebec / Québec,462,24462,Montréal,B,0.059215451,0.128341443,0.262789404,0.026293445,100,19044.6709,9745.775175,256.7179802,92.59259259,0.8421
4620194,194,24,Quebec / Québec,462,24462,Montréal,B,0.520033167,0.465371982,0.454414856,0.053395441,31.49461386,15725.4375,7574.512705,201.8482781,43.29896907,0.6378
5350411.12,411.12,35,Ontario,535,35535,Toronto,B,0.007748313,0.411775301,0.426765767,0.065302953,12.75822345,10703.95695,5953.023269,107.1927019,21.42857143,0.4107
4620196,196,24,Quebec / Québec,462,24462,Montréal,B,0.215357765,0.391489775,0.293437883,0.026830976,100,24499.04631,10994.75455,279.5276582,62.22222222,0.9623
4620197,197,24,Quebec / Québec,462,24462,Montréal,B,0.529584195,0.385799596,0.331804616,0.029621309,71.30669133,21213.61384,9980.146555,151.9176643,50,0.856
4620198,198,24,Quebec / Québec,462,24462,Montréal,B,0.450814445,0.586896883,0.702684041,0.028562351,44.43586136,19217.2168,8461.021566,194.5062429,50,0.7505
4620199,199,24,Quebec / Québec,462,24462,Montréal,B,0.478770649,0.296498049,0.165315407,0.022376793,100,29193.19173,15361.89768,212.2734952,68.42105263,1.168
4620200,200,24,Quebec / Québec,462,24462,Montréal,B,0.124849244,0.180907067,0.18808462,0.017438886,100,38231.47309,18677.47132,131.0699742,100,1.367
