GEOUID,PROV,EMP15
11010079,11,260
11010080,11,130
11010081,11,145
11010082,11,160
11010083,11,170
1102,11,39725
11020116,11,135
11020117,11,345
11020119,11,50
11020120,11,415
11020121,11,360
11020122,11,320
11020123,11,465
11020124,11,325
11020125,11,375
11020126,11,295
11020127,11,60
11020128,11,225
11020129,11,125
11020130,11,375
11020131,11,485
11020132,11,165
11020133,11,535
11020134,11,150
11020135,11,120
11020136,11,175
11020137,11,235
11020138,11,265
11020139,11,255
11020140,11,155
11020141,11,215
11020142,11,300
11020143,11,250
11020144,11,420
11020145,11,335
11020146,11,155
11020147,11,240
11020148,11,205
11020149,11,280
11020150,11,340
11020151,11,275
11020152,11,345
11020153,11,230
11020154,11,340
11020155,11,160
11020156,11,305
11020157,11,220
11020158,11,305
11020159,11,185
11020160,11,330
11020161,11,265
11020162,11,235
11020163,11,230
11020164,11,260
11020165,11,220
11020166,11,200
11020167,11,190
11020168,11,175
11020169,11,285
11020170,11,150
11020171,11,135
11020172,11,180
11020173,11,225
11020174,11,500
11020175,11,175
11020176,11,170
11020177,11,210
11020178,11,230
11020179,11,180
11020180,11,400
11020181,11,335
11020182,11,225
11020183,11,430
11020184,11,240
11020185,11,310
11020186,11,290
11020187,11,365
11020188,11,300
11020189,11,255
11020190,11,225
11020191,11,240
11020192,11,380
11020193,11,170
11020194,11,345
11020196,11,250
11020197,11,210
11020198,11,270
11020199,11,305
11020200,11,305
11020201,11,400
11020202,11,200
11020203,11,385
11020204,11,225
11020205,11,280
11020206,11,300
11020207,11,275
11020208,11,290
11020209,11,115
11020210,11,310
11020211,11,185
11020212,11,95
11020213,11,215
11020214,11,295
11020215,11,160
11020216,11,200
11020217,11,60
11020218,11,205
11020219,11,230
11020220,11,190
11020221,11,165
11020222,11,215
11020223,11,80
11020224,11,210
11020225,11,35
11020226,11,210
11020227,11,230
11020228,11,535
11020229,11,315
11020230,11,865
11020231,11,350
11020232,11,335
11020233,11,130
11020234,11,285
11020235,11,170
11020236,11,405
11020237,11,265
11020238,11,480
11020239,11,240
11020240,11,175
11020241,11,120
11020242,11,380
11020243,11,260
11020244,11,210
11020245,11,240
11020246,11,205
11020247,11,270
11020248,11,285
11020249,11,210
11020250,11,260
11020251,11,245
11020252,11,235
11020253,11,220
11020254,11,220
11020255,11,265
11020256,11,400
11020257,11,335
11020258,11,295
11020259,11,170
11020260,11,470
11020261,11,500
11020262,11,295
11020263,11,325
11020264,11,395
11020265,11,175
11020266,11,225
11020267,11,250
1103,11,20610
11030072,11,295
11030073,11,145
11030074,11,120
11030075,11,230
11030076,11,285
11030077,11,235
11030078,11,110
11030079,11,255
11030080,11,85
11030082,11,195
11030083,11,360
11030084,11,255
11030085,11,355
11030086,11,275
11030087,11,150
11030088,11,230
11030089,11,210
11030090,11,200
11030091,11,195
11030092,11,140
11030093,11,205
11030094,11,260
11030095,11,210
11030096,11,185
11030097,11,385
11030098,11,80
11030099,11,135
11030100,11,110
11030102,11,200
11030103,11,35
11030104,11,200
11030105,11,405
11030106,11,195
11030107,11,120
11030108,11,340
11030109,11,135
11030110,11,320
11030112,11,500
11030113,11,270
11030114,11,295
11030115,11,195
11030116,11,325
11030117,11,185
11030118,11,145
11030119,11,190
11030120,11,155
11030121,11,125
11030122,11,155
11030123,11,210
11030124,11,125
11030125,11,130
11030126,11,215
11030127,11,325
11030128,11,45
11030129,11,175
11030130,11,300
11030131,11,260
11030132,11,325
11030133,11,180
11030134,11,565
11030135,11,145
11030136,11,185
11030137,11,265
11030138,11,245
11030139,11,200
11030140,11,215
11030141,11,310
11030142,11,205
11030143,11,180
11030144,11,105
11030145,11,235
11030146,11,405
11030147,11,185
11030148,11,265
11030149,11,205
11030150,11,200
11030151,11,325
11030152,11,290
11030153,11,275
11030154,11,50
11030155,11,75
11030156,11,235
11030157,11,260
11030158,11,145
11030159,11,195
11030160,11,205
11030161,11,155
11030162,11,200
11030163,11,170
11030164,11,265
11030165,11,235
11030166,11,210
11030167,11,250
11030168,11,270
1201,12,6075
12010030,12,300
12010031,12,215
12010032,12,140
12010033,12,145
12010034,12,105
12010035,12,225
12010036,12,230
12010037,12,155
12010038,12,190
12010039,12,300
12010040,12,210
12010041,12,230
12010042,12,215
12010043,12,195
12010044,12,475
12010045,12,250
12010046,12,215
12010047,12,300
12010048,12,230
12010049,12,180
12010050,12,250
12010051,12,305
12010052,12,295
12010053,12,205
12010054,12,155
12010055,12,180
12010056,12,180
1202,12,11235
12020043,12,275
12020044,12,370
12020045,12,370
12020046,12,235
12020047,12,260
12020048,12,220
12020049,12,300
12020050,12,255
12020051,12,295
12020052,12,310
12020053,12,300
12020054,12,195
12020055,12,210
12020056,12,215
12020057,12,175
12020058,12,190
12020059,12,210
12020060,12,110
12020061,12,165
12020062,12,160
12020063,12,180
12020064,12,145
12020065,12,255
12020066,12,50
12020067,12,380
12020068,12,260
12020069,12,170
12020070,12,150
12020071,12,180
12020072,12,470
12020073,12,90
12020074,12,230
12020075,12,280
12020076,12,250
12020077,12,120
12020078,12,420
12020079,12,330
12020080,12,170
12020081,12,240
12020082,12,225
12020083,12,250
12020084,12,280
12020085,12,690
12020086,12,305
12020087,12,280
1203,12,7420
12030040,12,250
12030041,12,195
12030042,12,185
12030043,12,130
12030044,12,205
12030045,12,295
12030046,12,205
12030047,12,190
12030048,12,200
12030051,12,205
12030052,12,140
12030053,12,160
12030054,12,185
12030055,12,140
12030056,12,250
12030057,12,75
12030058,12,185
12030059,12,185
12030060,12,140
12030061,12,295
12030062,12,250
12030063,12,180
12030064,12,220
12030065,12,205
12030066,12,195
12030067,12,125
12030068,12,170
12030069,12,165
12030070,12,140
12030071,12,255
12030072,12,220
12030073,12,215
12030074,12,195
12030075,12,195
12030076,12,245
12030077,12,235
12030078,12,165
12030079,12,165
12030082,12,40
1204,12,4305
12040025,12,160
12040027,12,250
